iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
101,-165.7620306,-609.3329263,-0.441374972,-0.112207924,-0.001705524,-0.176198297,-0.048327559,-0.000666129,-0.20342957,-172.0336867,-0.04591202
102,-244.8425626,-450.1109925,-0.285675913,-0.070117454,-0.001269229,-0.10569122,-0.030240146,-0.000376462,-0.14280178,-107.5241446,-0.024254282
103,-176.024196,-476.1037766,-0.24841352,-0.063751473,-0.001263344,-0.10540039,-0.027564668,-0.000411781,-0.124459751,-187.2330406,-0.022632854
104,-222.4966331,-402.1542866,-0.242757579,-0.062407797,-0.001066795,-0.094841263,-0.027398759,-0.000376313,-0.113810734,-169.1342992,-0.027968046
105,-208.5378633,-568.6086933,-0.264344586,-0.064957515,-0.001104084,-0.118444816,-0.027248698,-0.00043052,-0.130544397,-209.2056582,-0.019196759
106,-379.0420633,-414.7546559,-0.308720392,-0.077226666,-0.001184705,-0.129286673,-0.033097336,-0.000497464,-0.161415503,-0.39623197,-0.029516956
107,-133.1734866,-501.9595473,-0.362420407,-0.084880514,-0.001470604,-0.146218425,-0.035790544,-0.000650489,-0.183095726,-129.8877448,-0.027489972
108,-364.2107403,-605.4581214,-0.305609591,-0.069811931,-0.00104504,-0.129523193,-0.029379257,-0.00041818,-0.155544519,-0.376486646,-0.023359278
109,-360.2544978,-479.0380631,-0.261256221,-0.065319127,-0.001355422,-0.103661027,-0.02934347,-0.000459199,-0.128200515,-14.60735561,-0.025106475
110,-197.5634309,-597.9217312,-0.381109573,-0.094090632,-0.003131162,-0.17348462,-0.03811409,-0.00053039,-0.254418856,-178.5909338,-0.030628419
111,-353.252517,-487.8190075,-0.368383908,-0.092734844,-0.001670409,-0.152897874,-0.039438763,-0.000760355,-0.200454058,-0.98371045,-0.033582099
112,-131.7362305,-579.0333098,-0.309026234,-0.078475148,-0.001356176,-0.113102823,-0.03528328,-0.000622785,-0.129853172,-145.993628,-0.039001548
113,-328.809466,-512.0874021,-0.277356751,-0.063385729,-0.00104691,-0.113677587,-0.027030061,-0.000474078,-0.136810428,-0.578712349,-0.020298592
114,-310.6481074,-559.5420684,-0.352551858,-0.089461236,-0.001582868,-0.131697893,-0.039323002,-0.000700117,-0.183551657,-0.654428249,-0.03417571
115,-404.5913132,-419.0807914,-0.411220472,-0.106997766,-0.001724987,-0.184250101,-0.045486595,-0.000533388,-0.211009593,-0.447275759,-0.041080113
116,-212.1237492,-496.9502304,-0.298996626,-0.07418023,-0.00136276,-0.116117421,-0.03321572,-0.000538949,-0.13078461,-213.5533509,-0.035224897
117,-412.4727803,-429.0305623,-0.330587241,-0.073608699,-0.001232521,-0.122122715,-0.032923513,-0.00046892,-0.148075671,-2.06822547,-0.030550048
118,-224.5894863,-487.391235,-0.377454206,-0.099859204,-0.001617131,-0.158357247,-0.04349698,-0.000693831,-0.179348019,-208.966766,-0.044323436
119,-355.6983749,-531.3051436,-0.393938601,-0.090725409,-0.001627588,-0.137935115,-0.040258661,-0.000522185,-0.181325385,-2.052976331,-0.028287545
120,-251.8498982,-396.8264182,-0.350779283,-0.08456176,-0.001288247,-0.159733532,-0.035452081,-0.000603721,-0.233069134,-99.20095308,-0.03843745
121,-396.835168,-450.2664525,-0.259717242,-0.061244874,-0.001213993,-0.111607727,-0.026166363,-0.000395458,-0.143878969,-0.331777163,-0.025446928
122,-197.6917322,-347.2422012,-0.336959508,-0.081643178,-0.001528097,-0.12843597,-0.035858026,-0.000627352,-0.154495293,-188.3306584,-0.027530396
123,-305.0749975,-505.2274272,-0.359724431,-0.094959849,-0.001538068,-0.171173514,-0.040149084,-0.000692825,-0.182124142,-0.688419959,-0.045127699
124,-169.7041905,-423.307077,-0.213288772,-0.051229475,-0.000722192,-0.08174398,-0.02238216,-0.000341859,-0.10999957,-200.4468442,-0.018260808
125,-384.7949985,-590.7161744,-0.322438839,-0.08136876,-0.001590137,-0.134354596,-0.035698809,-0.000498512,-0.162396229,-0.712949969,-0.026876732
126,-139.7413137,-515.3257064,-0.362195026,-0.085113044,-0.001323157,-0.145668808,-0.036731533,-0.000563364,-0.188890441,-231.7713298,-0.031340501
127,-219.1274403,-557.5449013,-0.278149536,-0.068559535,-0.001149732,-0.109273965,-0.029947719,-0.000419816,-0.138392475,-220.3829018,-0.028545436
128,-348.3757411,-552.5508145,-0.389933124,-0.099611869,-0.001610995,-0.1769661,-0.041593608,-0.000639813,-0.215092832,-53.36936618,-0.037459187
129,-353.8113445,-468.3885472,-0.326660922,-0.079019436,-0.001690329,-0.137393368,-0.033551837,-0.000520663,-0.17551324,-0.586600509,-0.035532455
130,-155.1756969,-454.255237,-0.301917632,-0.078484514,-0.001290704,-0.137824618,-0.032506132,-0.000749294,-0.152906962,-167.1234417,-0.026875644
131,-182.0306812,-510.2281486,-0.322478505,-0.075522906,-0.001179284,-0.127973287,-0.032049321,-0.000406271,-0.171889869,-197.4201568,-0.027143384
132,-185.0948486,-416.9558891,-0.472093844,-0.124348913,-0.001966456,-0.189756421,-0.051505313,-0.000717914,-0.214477893,-215.5982067,-0.055955461
133,-272.4927402,-491.3514572,-0.274723284,-0.067968021,-0.001167971,-0.130166773,-0.028557744,-0.000457297,-0.178008528,-0.309682798,-0.025004964
134,-207.571397,-604.2616513,-0.286356679,-0.067593939,-0.001081391,-0.108319977,-0.029307153,-0.000353615,-0.143956265,-183.0053673,-0.021088708
135,-189.8602817,-417.789919,-0.25946647,-0.065376754,-0.000884941,-0.100580321,-0.027184307,-0.000333842,-0.12825298,-132.068402,-0.020129077
136,-315.746385,-407.8428085,-0.302426742,-0.073616265,-0.001468459,-0.132108481,-0.030584465,-0.000420303,-0.172127369,-0.247641097,-0.02288048
137,-217.3331207,-476.6987843,-0.219880833,-0.057321337,-0.000816057,-0.114162944,-0.02375738,-0.000317702,-0.12404999,-155.6804873,-0.018706751
138,-146.6313285,-377.6390601,-0.371551739,-0.102692442,-0.001428488,-0.145347507,-0.044212325,-0.000592837,-0.171063585,-220.5172013,-0.041954107
139,-218.2407476,-433.5675473,-0.371319925,-0.095813281,-0.001621579,-0.146632252,-0.043268297,-0.000711128,-0.172699233,-141.2632329,-0.048596771
140,-402.8084213,-374.696358,-0.298074266,-0.077157169,-0.001269853,-0.121427918,-0.03413409,-0.000528724,-0.156803771,-0.572899168,-0.032043587
